PolityID,PolityName,PolityType,StateAbbr
0,League of Nations,International Organization,
1,United Nations,International Organization,
2,United States of America,State,USA
3,Alaska,Territory,
4,Hawaii,Territory,
5,Virgin Islands,Territory,
6,Puerto Rico,Territory,
7,Texas,Territory,
10,Greenland,Territory,
11,Faeroe Is.,Territory,
20,Canada,State,CAN
21,Newfoundland,Territory,
30,Bermuda,Territory,
31,Bahamas,State,BHM
40,Cuba,State,CUB
41,Haiti,State,HAI
42,Dominican Republic,State,DOM
50,West Indies Federation,Territory,
51,Jamaica,State,JAM
52,Trinidad and Tobago,State,TRI
53,Barbados,State,BAR
54,Dominica,State,DMA
55,Grenada,State,GRN
56,St. Lucia,State,SLU
57,St. Vincent and the Grenadines,State,SVG
58,Antigua & Barbuda,State,AAB
59,Montserrat,Territory,
60,St. Kitts and Nevis,State,SKN
65,Guadeloupe,Territory,
66,Martinique,Territory,
68,Netherlands Antilles,Territory,
70,Mexico,State,MEX
80,Belize,State,BLZ
89,United States of Central America,Territory,
90,Guatemala,State,GUA
91,Honduras,State,HON
92,El Salvador,State,SAL
93,Nicaragua,State,NIC
94,Costa Rica,State,COS
95,Panama,State,PAN
96,Panama Canal Zone,Territory,
100,Colombia,State,COL
101,Venezuela,State,VEN
110,Guyana,State,GUY
115,Suriname,State,SUR
120,French Guyana,Territory,
130,Ecuador,State,ECU
135,Peru,State,PER
136,Bolivia-Peru Confederation,Territory,
140,Brazil,State,BRA
145,Bolivia,State,BOL
150,Paraguay,State,PAR
155,Chile,State,CHL
160,Argentina,State,ARG
165,Uruguay,State,URU
200,United Kingdom,State,UKG
205,Ireland,State,IRE
210,Netherlands,State,NTH
211,Belgium,State,BEL
212,Luxembourg,State,LUX
220,France,State,FRN
221,Monaco,State,MNC
223,Liechtenstein,State,LIE
225,Switzerland,State,SWZ
230,Spain,State,SPN
231,Gibraltar,Territory,
232,Andorra,State,AND
235,Portugal,State,POR
240,Hanover,State,HAN
241,Anhalt Dessau,Territory,
242,Anhalt Cothen,Territory,
243,Anhalt Bernburg,Territory,
244,Brunswick,Territory,
245,Bavaria,State,BAV
246,Bremen,Territory,
247,Frankfurt,Territory,
248,Hamburg,Territory,
250,Hohenzollern Hechingen,Territory,
251,Hohenzollern Sigmaringen,Territory,
252,Lippe,Territory,
253,Mecklenburg Strelitz,Territory,
254,Nassau,Territory,
255,Germany,State,GMY
256,Saar,Territory,
257,Oldenburg,Territory,
258,"Reuss, Older Line",Territory,
259,"Reuss, Younger Line",Territory,
260,German Federal Republic,State,GFR
261,Saxe Weimar,Territory,
262,Saxe Altenburg,Territory,
264,Saxe Coburg,Territory,
265,German Democratic Republic,State,GDR
266,Saxe Meiningen,Territory,
267,Baden,State,BAD
268,Schwartzburg Sonderhausen,Territory,
269,Saxony,State,SAX
270,Schwartzburg Rodolstadt,Territory,
271,Wuerttemburg,State,WRT
272,Waldeck,Territory,
273,Hesse Electoral,State,HSE
274,Schaumburg Lippe,Territory,
275,Hesse Grand Ducal,State,HSG
276,Lubeck,Territory,
280,Mecklenburg Schwerin,State,MEC
290,Poland,State,POL
291,Danzig,Territory,
300,Austria-Hungary,State,AUH
305,Austria,State,AUS
310,Hungary,State,HUN
315,Czechoslovakia,State,CZE
316,Czech Republic,State,CZR
317,Slovakia,State,SLO
325,Italy,State,ITA
326,Trieste,Territory,
327,Papal States,State,PAP
328,Vatican City,Territory,
329,Two Sicilies,State,SIC
331,San Marino,State,SNM
332,Modena,State,MOD
335,Parma,State,PMA
336,Lucca,Territory,
337,Tuscany,State,TUS
338,Malta,State,MLT
339,Albania,State,ALB
341,Montenegro,State,MNG
343,Macedonia,State,MAC
344,Croatia,State,CRO
345,Yugoslavia,State,YUG
346,Bosnia and Herzegovina,State,BOS
347,Kosovo,State,KOS
348,Montenegro,Territory,
349,Slovenia,State,SLV
350,Greece,State,GRC
351,Crete,Territory,
352,Cyprus,State,CYP
355,Bulgaria,State,BUL
359,Moldova,State,MLD
360,Romania,State,ROM
365,Russia,State,RUS
366,Estonia,State,EST
367,Latvia,State,LAT
368,Lithuania,State,LIT
369,Ukraine,State,UKR
370,Belarus,State,BLR
371,Armenia,State,ARM
372,Georgia,State,GRG
373,Azerbaijan,State,AZE
374,Transcaucasia (Chechen-Ingush Republic),Territory,
375,Finland,State,FIN
380,Sweden,State,SWD
385,Norway,State,NOR
390,Denmark,State,DEN
395,Iceland,State,ICE
400,Azores (Western Isles),Territory,
401,Madeira Isles,Territory,
402,Cape Verde,State,CAP
403,Sao Tome and Principe,State,STP
404,Guinea-Bissau,State,GNB
410,Canary Is.,Territory,
411,Equatorial Guinea,State,EQG
412,Rio Muni,Territory,
413,Fernando Po (Bioko),Territory,
420,Gambia,State,GAM
430,French West Africa,Territory,
431,Mali Federation,Territory,
432,Mali,State,MLI
433,Senegal,State,SEN
434,Benin,State,BEN
435,Mauritania,State,MAA
436,Niger,State,NIR
437,Ivory Coast,State,CDI
438,Guinea,State,GUI
439,Burkina Faso,State,BFO
450,Liberia,State,LBR
451,Sierra Leone,State,SIE
452,Ghana,State,GHA
460,German Togoland,Territory,
461,Togo,State,TOG
462,British Togoland,Territory,
470,Kamerun,Territory,
471,Cameroon,State,CAO
472,British Cameroons,Territory,
475,Nigeria,State,NIG
480,French Equatorial Africa,Territory,
481,Gabon,State,GAB
482,Central African Republic,State,CEN
483,Chad,State,CHA
484,Congo,State,CON
490,Democratic Republic of the Congo,State,DRC
500,Uganda,State,UGA
501,Kenya,State,KEN
510,Tanzania,State,TAZ
511,Zanzibar,State,ZAN
515,Rwanda-Urundi,Territory,
516,Burundi,State,BUI
517,Rwanda,State,RWA
520,Somalia,State,SOM
521,British Somaliland (Somaliland Republic),Territory,
522,Djibouti,State,DJI
530,Ethiopia,State,ETH
531,Eritrea,State,ERI
540,Angola,State,ANG
541,Mozambique,State,MZM
550,Federation of Rhodesia and Nyasaland,Territory,
551,Zambia,State,ZAM
552,Zimbabwe,State,ZIM
553,Malawi,State,MAW
